Plot ,Treatment,Time point,Algal taxa,Points,Points within dead coral,Total points
1,Removal,2019,Lobophora,1,1,766
1,Removal,2019,Asparagopsis,3,1,766
1,Removal,2019,Turbinaria,0,0,766
1,Removal,2019,Halimeda,0,0,766
1,Removal,2020,Lobophora,61,32,766
1,Removal,2020,Asparagopsis,5,0,766
1,Removal,2020,Turbinaria,0,0,766
1,Removal,2020,Halimeda,0,0,766
1,Removal,2021,Lobophora,34,27,766
1,Removal,2021,Asparagopsis,12,3,766
1,Removal,2021,Turbinaria,0,0,766
1,Removal,2021,Halimeda,0,0,766
1,Removal,2022,Lobophora,7,7,766
1,Removal,2022,Asparagopsis,4,1,766
1,Removal,2022,Turbinaria,0,0,766
1,Removal,2022,Halimeda,7,3,766
1,Removal,2023,Lobophora,6,4,766
1,Removal,2023,Asparagopsis,12,0,766
1,Removal,2023,Turbinaria,0,0,766
1,Removal,2023,Halimeda,5,4,766
2,Retention,2019,Lobophora,0,0,865
2,Retention,2019,Asparagopsis,3,0,865
2,Retention,2019,Turbinaria,0,0,865
2,Retention,2019,Halimeda,0,0,865
2,Retention,2020,Lobophora,225,188,865
2,Retention,2020,Asparagopsis,5,1,865
2,Retention,2020,Turbinaria,0,0,865
2,Retention,2020,Halimeda,0,0,865
2,Retention,2021,Lobophora,192,159,865
2,Retention,2021,Asparagopsis,13,10,865
2,Retention,2021,Turbinaria,1,0,865
2,Retention,2021,Halimeda,0,0,865
2,Retention,2022,Lobophora,66,52,865
2,Retention,2022,Asparagopsis,4,4,865
2,Retention,2022,Turbinaria,0,0,865
2,Retention,2022,Halimeda,2,2,865
2,Retention,2023,Lobophora,143,121,865
2,Retention,2023,Asparagopsis,41,28,865
2,Retention,2023,Turbinaria,2,0,865
2,Retention,2023,Halimeda,5,2,865
3,Retention,2019,Lobophora,0,0,741
3,Retention,2019,Asparagopsis,0,0,741
3,Retention,2019,Turbinaria,0,0,741
3,Retention,2019,Halimeda,0,0,741
3,Retention,2020,Lobophora,103,88,741
3,Retention,2020,Asparagopsis,31,19,741
3,Retention,2020,Turbinaria,0,0,741
3,Retention,2020,Halimeda,0,0,741
3,Retention,2021,Lobophora,40,34,741
3,Retention,2021,Asparagopsis,57,49,741
3,Retention,2021,Turbinaria,0,0,741
3,Retention,2021,Halimeda,0,0,741
3,Retention,2022,Lobophora,24,20,741
3,Retention,2022,Asparagopsis,12,10,741
3,Retention,2022,Turbinaria,2,0,741
3,Retention,2022,Halimeda,0,0,741
3,Retention,2023,Lobophora,43,36,741
3,Retention,2023,Asparagopsis,33,25,741
3,Retention,2023,Turbinaria,10,5,741
3,Retention,2023,Halimeda,12,2,741
4,Removal,2019,Lobophora,1,1,900
4,Removal,2019,Asparagopsis,3,3,900
4,Removal,2019,Turbinaria,0,0,900
